,Word,Frequency
5,library,4
21,Sarah,4
18,characters,3
10,midnight,3
14,stories,2
31,as,2
9,night,2
11,books,2
40,pages,2
6,rumored,1
4,old,1
3,stood,1
7,enchanted,1
0,small,1
2,Willowby,1
1,town,1
15,each,1
13,whisper,1
12,inside,1
8,every,1
19,life,1
20,evening,1
22,curious,1
17,bringing,1
23,15yearold,1
24,decided,1
26,into,1
25,sneak,1
27,see,1
28,if,1
29,rumors,1
16,other,1
30,true,1
32,clock,1
34,twelve,1
33,struck,1
36,rustle,1
37,amazement,1
38,stepped,1
35,began,1
39,out,1
41,she,1
42,met,1
43,Alice,1
44,Wonderland,1
45,white,1
46,rabbit,1
47,even,1
48,pirates,1
49,treasure,1
50,island,1
51,invited,1
52,her,1
53,join,1
54,council,1
55,where,1
56,discussed,1
57,tales,1
58,adventures,1
59,wisdom,1
60,contained,1
61,spent,1
62,whole,1
63,listening,1
64,learning,1
65,promising,1
66,keep,1
67,secret,1
68,dawn,1
69,approached,1
70,returned,1
71,left,1
72,inspired,1
73,filled,1
74,with,1
75,tell,1
76,forever,1
77,changed,1
78,by,1
79,magic,1
